
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   255     20  1.3E-01    256  1.4E-03  4.4E-02  1.8550482E+00    318 2.9E+02
   256     15  9.8E-02    257  1.3E-03  4.2E-02  1.8527177E+00    310 2.9E+02
   257     14  1.4E-01    258  1.2E-03  4.4E-02  1.8491911E+00    313 2.9E+02
   258     22  2.1E-01    259  1.0E-03  4.3E-02  1.8447541E+00    320 2.9E+02
   259     21  8.1E-02    260  9.7E-04  3.8E-02  1.8434375E+00    318 2.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   260     17  8.6E-07    261  9.7E-04  4.0E-02  1.8434375E+00    310 2.9E+02
   261     31  5.9E-02    262  9.5E-04  3.9E-02  1.8422330E+00    315 2.9E+02
   262     84  9.4E-02    263  9.9E-04  5.5E-02  1.8400280E+00    306 2.9E+02
   263     20  2.5E-02    264  9.8E-04  4.6E-02  1.8391720E+00    307 2.9E+02
   264     14  2.2E-02    265  9.7E-04  3.8E-02  1.8386773E+00    304 2.9E+02
   265     23  1.0E-01    266  9.8E-04  4.0E-02  1.8363834E+00    310 2.9E+02
   266     34  1.8E-02    267  9.7E-04  4.7E-02  1.8357044E+00    313 2.9E+02
   267     29  1.0E-01    268  9.6E-04  4.0E-02  1.8337130E+00    309 2.9E+02
   268     29  2.6E-02    269  9.4E-04  3.5E-02  1.8329417E+00    311 2.9E+02
   269     54  1.6E-02    270  9.4E-04  5.0E-02  1.8323066E+00    320 2.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   270     32  1.0E-01    271  9.2E-04  4.6E-02  1.8306860E+00    309 2.9E+02
   271     28  7.8E-02    272  9.3E-04  4.4E-02  1.8285382E+00    300 2.9E+02
   272     29  8.9E-03    273  9.3E-04  5.0E-02  1.8282874E+00    322 2.9E+02
   273     26  8.0E-02    274  9.5E-04  5.1E-02  1.8266091E+00    319 2.9E+02
   274     22  6.4E-02    275  9.3E-04  4.3E-02  1.8253280E+00    317 2.9E+02
   275     53  2.2E-01    276  9.5E-04  1.2E-01  1.8229112E+00    319 2.9E+02
   276     22  3.5E-02    277  9.3E-04  7.6E-02  1.8219815E+00    320 2.9E+02
   277     16  1.2E-01    278  8.6E-04  7.2E-02  1.8198270E+00    320 2.9E+02
   278     23  1.2E-01    279  8.3E-04  5.6E-02  1.8174425E+00    332 2.9E+02
   279     34  2.9E-01    280  6.9E-04  3.4E-02  1.8128181E+00    323 2.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   280     20  4.3E-02    281  6.8E-04  3.9E-02  1.8119385E+00    322 2.9E+02
   281     52  2.7E-01    282  6.9E-04  5.8E-02  1.8076387E+00    318 2.9E+02
   282     54  4.9E-02    283  7.3E-04  1.1E-01  1.8063226E+00    330 2.9E+02
   283     39  1.2E-02    284  7.4E-04  2.9E-02  1.8059227E+00    316 2.9E+02
   284     56  2.9E-06    285  7.4E-04  1.0E-01  1.8059227E+00    329 2.9E+02
   285     25  3.2E-06    287  7.4E-04  1.1E-01  1.8059225E+00    327 2.9E+02  M
   286     30  3.3E-06    288  7.4E-04  4.5E-02  1.8059224E+00    314 2.9E+02
   287     18  3.7E-06    290  7.4E-04  3.0E-02  1.8059223E+00    305 2.9E+02  M
   288     94  3.9E-06    292  7.4E-04  3.6E-02  1.8059222E+00    352 2.9E+02  MR
   289     15  1.0E+00    293  3.3E-04  3.7E-02  1.8043112E+00    346 2.9E+02 s

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   290     14  6.1E-02    294  3.3E-04  3.9E-02  1.8040530E+00    345 2.9E+02
   291     14  4.1E-02    295  3.2E-04  3.2E-02  1.8037804E+00    338 2.9E+02
   292     13  5.4E-02    296  3.1E-04  2.8E-02  1.8035177E+00    334 2.9E+02
   293     13  1.4E-01    297  3.1E-04  2.9E-02  1.8025026E+00    338 2.9E+02
   294     21  3.0E-01    298  3.6E-04  5.1E-02  1.8011041E+00    326 2.9E+02
   295      1  1.0E-03    300  3.6E-04  5.1E-02  1.8010969E+00    326 2.9E+02
   296     17  1.0E-03    302  3.6E-04  5.2E-02  1.8010897E+00    325 2.9E+02  M
   297      3  5.5E-04    304  3.6E-04  5.2E-02  1.8010858E+00    327 2.9E+02  M
   298      1  9.9E-04    306  3.6E-04  5.2E-02  1.8010787E+00    327 2.9E+02  M
   299      3  1.0E-03    308  3.7E-04  5.3E-02  1.8010715E+00    325 2.9E+02  M

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   300      1  1.2E-03    310  3.7E-04  5.3E-02  1.8010634E+00    325 2.9E+02  M
   301      1  9.3E-04    312  3.7E-04  5.4E-02  1.8010569E+00    325 2.9E+02  M
   302      9  8.2E-04    314  3.7E-04  5.4E-02  1.8010513E+00    323 2.9E+02  M
   303      2  1.1E-04    316  3.7E-04  5.4E-02  1.8010506E+00    322 2.9E+02  M
   304      3  9.1E-05    318  3.7E-04  5.4E-02  1.8010501E+00    320 2.9E+02  M
   305      6  5.6E-05    320  3.7E-04  5.4E-02  1.8010499E+00    315 2.9E+02  M
   306      5  3.5E-05    322  3.7E-04  5.4E-02  1.8010497E+00    311 2.9E+02  M
   307      8  1.7E-05    324  3.7E-04  5.4E-02  1.8010496E+00    314 2.9E+02  M
   308     13  5.3E-06    326  3.7E-04  5.4E-02  1.8010496E+00    310 2.9E+02  M
   309      4  3.0E-06    328  3.7E-04  5.4E-02  1.8010496E+00    309 2.9E+02  M

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   310      5  2.6E-06    330  3.7E-04  5.4E-02  1.8010496E+00    307 2.9E+02  M
   311      9  4.7E-07    332  3.7E-04  5.4E-02  1.8010496E+00    309 2.9E+02  M
   312      2  2.3E-06    334  3.7E-04  5.4E-02  1.8010496E+00    308 2.9E+02  M
   313     15  2.6E-06    336  3.7E-04  5.4E-02  1.8010496E+00    308 2.9E+02  M
   314      1  4.5E-08    337  3.7E-04  5.4E-02  1.8010496E+00    308 2.9E+02
   314     72             337  3.7E-04  5.4E-02  1.8009238E+00    347 1.0E+00   R
   315     32  1.0E+00    338  1.1E-04  7.1E-02  1.8003258E+00    330 1.0E+00 s
   316      2  1.9E-02    340  1.4E-04  7.5E-02  1.8002539E+00    331 1.0E+00
   317      7  2.3E-02    342  1.8E-04  8.4E-02  1.8001757E+00    328 1.0E+00  M
   318      3  7.0E-03    344  1.9E-04  9.1E-02  1.8001625E+00    326 1.0E+00  M
   319     25  2.6E-03    345  2.0E-04  9.8E-02  1.8001612E+00    306 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   320     24  8.8E-04    346  2.1E-04  8.9E-02  1.8001561E+00    311 1.0E+00
   321     46  4.9E-04    347  2.1E-04  9.0E-02  1.8001504E+00    318 1.0E+00
   322     29  4.1E-04    348  2.1E-04  9.0E-02  1.8001425E+00    316 1.0E+00
   323     39  3.7E-04    349  2.1E-04  9.0E-02  1.8001336E+00    306 1.0E+00
   324     38  3.7E-04    350  2.1E-04  9.1E-02  1.8001214E+00    324 1.0E+00
   325     37  4.8E-04    351  2.2E-04  9.1E-02  1.8001076E+00    300 1.0E+00
   326     38  3.9E-04    352  2.2E-04  9.1E-02  1.8000904E+00    318 1.0E+00
   327     37  4.6E-02    353  2.4E-04  6.8E-02  1.7985066E+00    299 1.0E+00
   328     50  7.3E-02    354  3.3E-04  4.0E-02  1.7956324E+00    326 1.0E+00
   329     40  7.9E-02    355  3.5E-04  3.1E-02  1.7939931E+00    297 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   330     48  4.8E-03    356  3.5E-04  3.1E-02  1.7938384E+00    294 1.0E+00
   331     32  2.1E-02    357  3.7E-04  3.1E-02  1.7931407E+00    283 1.0E+00
   332     69  4.2E-02    358  4.5E-04  2.9E-02  1.7916494E+00    311 1.0E+00
   333     18  7.4E-03    359  4.6E-04  2.9E-02  1.7913824E+00    302 1.0E+00
   334     33  1.4E-02    360  4.7E-04  3.0E-02  1.7909077E+00    294 1.0E+00
   335     20  3.9E-02    361  4.9E-04  3.1E-02  1.7895349E+00    289 1.0E+00
   336     13  5.8E-03    362  4.9E-04  3.0E-02  1.7893070E+00    289 1.0E+00
   337     27  6.5E-03    363  5.0E-04  3.1E-02  1.7890294E+00    291 1.0E+00
   338     36  4.5E-02    364  5.4E-04  3.5E-02  1.7870492E+00    287 1.0E+00
   339     46  5.4E-03    365  5.4E-04  3.6E-02  1.7867988E+00    287 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   340     35  2.4E-04    366  5.4E-04  3.7E-02  1.7867876E+00    285 1.0E+00
   341     21  4.0E-02    367  5.8E-04  3.9E-02  1.7848477E+00    287 1.0E+00
   342     34  4.0E-02    368  6.2E-04  3.7E-02  1.7829934E+00    296 1.0E+00
   343     31  5.0E-03    369  6.2E-04  3.9E-02  1.7827635E+00    294 1.0E+00
   344     33  3.9E-02    370  6.5E-04  3.7E-02  1.7809890E+00    288 1.0E+00
   345     28  3.9E-02    371  6.8E-04  3.6E-02  1.7792828E+00    282 1.0E+00
   346     38  3.9E-02    372  7.0E-04  3.3E-02  1.7775329E+00    292 1.0E+00
   347     42  6.9E-02    373  7.5E-04  3.0E-02  1.7746575E+00    291 1.0E+00
   348     28  3.8E-02    374  7.8E-04  2.8E-02  1.7731696E+00    287 1.0E+00
   349     60  1.3E-01    375  8.6E-04  4.2E-02  1.7686135E+00    272 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   350     25  3.6E-02    376  8.9E-04  1.9E-02  1.7672729E+00    264 1.0E+00
   351     37  3.6E-02    377  9.2E-04  2.6E-02  1.7659393E+00    272 1.0E+00
   352     44  1.3E-01    378  1.2E-03  8.1E-01  1.7618669E+00    267 1.0E+00
   353    156  3.2E-02    379  1.4E-03  4.6E-01  1.7608422E+00    335 1.0E+00
   354     48  9.2E-04    380  1.4E-03  4.5E-01  1.7607719E+00    322 1.0E+00
   355    151  1.1E-02    381  1.5E-03  1.7E-01  1.7601049E+00    291 1.0E+00
   356    104  1.3E-01    382  1.7E-03  1.7E-01  1.7572933E+00    366 1.0E+00   R
   357     26  1.4E-01    383  1.8E-03  9.7E-02  1.7558248E+00    373 1.0E+00 s
   358     12  1.0E+00    384  1.1E-04  8.9E-02  1.7548368E+00    370 3.1E+02
   359     20  1.0E+00    385  2.7E-05  6.8E-02  1.7539053E+00    357 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   360     10  4.4E-01    386  8.7E-05  4.3E-02  1.7530990E+00    354 5.9E+00
   361     14  1.0E+00    387  4.2E-04  1.2E-01  1.7528100E+00    353 5.9E+00
   362     34  2.6E-02    388  4.2E-04  1.9E-01  1.7526656E+00    372 5.9E+00
   363     57  4.1E-01    389  1.6E-03  3.5E-02  1.7525509E+00    363 5.9E+00
   364     17  1.0E+00    390  5.9E-04  3.5E-01  1.7515467E+00    372 5.9E+00
   365     23  1.0E+00    391  1.5E-03  2.0E-02  1.7499516E+00    357 5.9E+00
   366     17  1.0E+00    392  8.6E-05  6.7E-02  1.7496650E+00    354 8.1E+01
   367     15  1.0E+00    393  1.7E-04  2.2E-02  1.7487801E+00    348 1.8E+01
   368      9  3.5E-01    394  2.6E-04  3.6E-02  1.7480762E+00    349 1.8E+01
   369     13  1.0E+00    395  1.4E-04  7.4E-02  1.7468603E+00    349 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   370     21  1.0E+00    396  3.2E-04  3.0E-02  1.7456193E+00    347 1.8E+01
   371     16  1.0E+00    397  1.2E-04  2.9E-02  1.7447295E+00    340 1.8E+01
   372     21  1.0E+00    398  1.6E-04  2.1E-02  1.7432611E+00    342 1.8E+01
   373     31  1.0E+00    399  6.7E-04  3.8E-02  1.7430606E+00    348 1.8E+01
   374     45  2.9E-01    400  9.2E-04  1.8E-02  1.7423539E+00    346 1.8E+01
   375     16  1.0E+00    401  1.2E-04  1.9E-02  1.7417112E+00    339 1.8E+01
   376     15  1.0E+00    402  4.0E-05  1.8E-02  1.7409533E+00    331 1.8E+01
   377     31  3.0E-01    403  4.3E-05  1.8E-02  1.7404981E+00    335 1.8E+01
   378     27  4.9E-02    404  4.8E-05  1.7E-02  1.7403226E+00    333 1.8E+01
   379     65  1.4E-01    405  1.1E-04  7.2E-02  1.7399671E+00    327 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   380     18  6.3E-02    406  1.2E-04  4.2E-02  1.7395711E+00    328 1.8E+01
   381      9  7.5E-02    407  1.3E-04  3.5E-02  1.7391697E+00    322 1.8E+01
   382     13  7.3E-02    408  1.3E-04  3.1E-02  1.7387125E+00    324 1.8E+01
   383     32  1.2E-01    409  1.4E-04  3.2E-02  1.7380645E+00    335 1.8E+01
   384     13  6.0E-02    410  1.4E-04  2.1E-02  1.7376888E+00    337 1.8E+01
   385     12  1.1E-01    411  1.4E-04  1.7E-02  1.7372578E+00    332 1.8E+01
   386     10  9.2E-02    412  1.4E-04  2.6E-02  1.7368789E+00    323 1.8E+01
   387     14  1.9E-01    413  1.4E-04  5.5E-02  1.7359683E+00    317 1.8E+01
   388      9  2.4E-01    414  1.4E-04  7.0E-02  1.7347877E+00    319 1.8E+01
   389     27  2.0E-01    415  1.7E-04  6.0E-02  1.7339079E+00    341 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   390     34  1.0E+00    416  4.7E-04  2.2E-01  1.7323748E+00    334 1.8E+01
   391     53  9.7E-02    417  4.9E-04  1.2E-01  1.7315834E+00    349 1.8E+01
   392     31  1.0E+00    418  8.3E-04  3.2E-02  1.7302563E+00    337 1.8E+01
   393     54  2.5E-01    419  1.5E-03  3.4E-02  1.7298247E+00    339 1.8E+01
   394     37  1.0E+00    420  1.3E-04  3.9E-02  1.7282664E+00    341 1.8E+01
   395     46  1.0E+00    421  3.1E-04  3.8E-02  1.7274356E+00    324 1.8E+01
   396     66  5.2E-03    422  3.1E-04  3.7E-02  1.7273824E+00    355 1.8E+01
   397     11  1.0E+00    423  4.1E-05  3.6E-02  1.7266540E+00    345 1.8E+01   R
   398     34  1.0E+00    424  7.9E-06  3.5E-02  1.7263188E+00    314 1.8E+01 s
   399     20  1.8E-01    425  2.6E-05  3.2E-02  1.7257351E+00    307 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   400     23  7.9E-02    426  3.7E-05  3.0E-02  1.7253725E+00    299 1.8E+01
   401     35  2.6E-02    427  4.4E-05  2.7E-02  1.7251339E+00    315 1.8E+01
   402     27  2.0E-01    428  1.2E-04  2.1E-02  1.7241237E+00    294 1.8E+01
   403     36  5.3E-02    429  1.9E-04  2.4E-02  1.7236262E+00    305 1.8E+01
   404     53  7.8E-03    430  1.9E-04  2.7E-02  1.7235187E+00    326 1.8E+01
   405     20  7.9E-02    431  2.0E-04  1.8E-02  1.7230417E+00    317 1.8E+01
   406     14  6.6E-02    432  2.0E-04  1.1E-02  1.7226288E+00    316 1.8E+01
   407     18  1.9E-01    433  2.3E-04  2.3E-02  1.7218616E+00    305 1.8E+01
   408     47  1.2E-01    434  4.1E-04  4.1E-02  1.7214892E+00    307 1.8E+01
   409     16  6.6E-02    435  4.5E-04  4.0E-02  1.7210551E+00    312 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   410     46  2.9E-02    436  4.6E-04  2.9E-02  1.7207606E+00    325 1.8E+01
   411     19  2.4E-02    437  4.5E-04  2.0E-02  1.7206742E+00    315 1.8E+01
   412      9  5.0E-02    438  4.4E-04  1.9E-02  1.7204954E+00    311 1.8E+01
   413     12  2.7E-02    439  4.3E-04  1.9E-02  1.7203029E+00    310 1.8E+01
   414     20  2.4E-02    440  4.2E-04  1.9E-02  1.7201172E+00    315 1.8E+01
   415     29  1.3E-01    441  4.0E-04  1.8E-02  1.7191730E+00    300 1.8E+01
   416     33  9.3E-02    442  4.0E-04  1.6E-02  1.7184059E+00    319 1.8E+01
   417     19  9.1E-02    443  3.9E-04  1.3E-02  1.7178089E+00    321 1.8E+01
   418     40  7.2E-02    444  3.7E-04  1.2E-02  1.7173837E+00    314 1.8E+01
   419     29  1.7E-01    445  3.8E-04  1.5E-02  1.7163113E+00    312 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   420     31  4.7E-02    446  3.8E-04  1.8E-02  1.7159290E+00    314 1.8E+01
   421     27  3.5E-02    447  3.9E-04  2.2E-02  1.7156253E+00    322 1.8E+01
   422     32  1.2E-01    448  3.9E-04  2.8E-02  1.7146576E+00    319 1.8E+01
   423     74  3.1E-02    449  4.0E-04  3.0E-02  1.7143904E+00    341 1.8E+01
   424     42  1.9E-01    450  3.5E-04  3.3E-02  1.7136788E+00    321 1.8E+01
   425     26  9.8E-02    451  3.7E-04  3.6E-02  1.7128365E+00    328 1.8E+01
   426     32  8.0E-02    452  3.5E-04  3.7E-02  1.7122430E+00    315 1.8E+01
   427     56  4.9E-02    453  3.5E-04  3.8E-02  1.7118005E+00    315 1.8E+01
   428     66  1.4E-01    454  5.8E-04  1.3E-01  1.7112236E+00    314 1.8E+01
   429     72  1.4E-03    455  5.8E-04  1.2E-01  1.7112034E+00    339 1.8E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   430     67  1.0E-02    456  5.8E-04  1.1E-01  1.7109497E+00    317 1.8E+01
   431     40  1.4E-03    457  5.8E-04  1.1E-01  1.7109354E+00    316 1.8E+01
   432     17  5.6E-02    458  5.8E-04  8.9E-02  1.7098261E+00    314 1.8E+01
   433     25  5.2E-02    459  5.8E-04  7.6E-02  1.7089635E+00    314 1.8E+01
   434     43  7.9E-02    460  5.7E-04  5.7E-02  1.7076490E+00    330 1.8E+01
   435     26  6.7E-02    461  6.2E-04  3.4E-02  1.7063641E+00    319 1.8E+01
   436     70  7.3E-02    462  6.6E-04  2.8E-02  1.7049927E+00    330 1.8E+01
   437     67  1.7E-01    463  9.4E-04  1.7E-01  1.7039761E+00    320 1.8E+01
   438     59  3.6E-04    464  9.4E-04  1.6E-01  1.7039706E+00    352 1.8E+01   R
   439     37  3.7E-02    465  9.4E-04  1.1E-01  1.7035290E+00    378 1.8E+01 s

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   440     13  1.0E+00    466  1.1E-04  5.1E-02  1.7030891E+00    371 7.1E+02
   441     20  1.0E+00    467  1.8E-05  4.3E-02  1.7024648E+00    354 1.1E+02
   442      9  1.0E+00    468  1.0E-04  2.4E-02  1.7016927E+00    348 1.1E+02
   443      6  1.0E+00    469  2.7E-04  2.7E-02  1.7011555E+00    345 1.1E+02
   444      9  1.0E+00    470  6.8E-05  1.0E-02  1.7007558E+00    343 1.1E+02
   445      6  1.0E+00    471  8.0E-05  1.2E-02  1.7004999E+00    344 1.1E+02
   446     15  1.0E+00    472  1.2E-04  1.8E-02  1.7001066E+00    350 1.1E+02
   447      8  1.0E+00    473  1.4E-04  2.0E-02  1.6996825E+00    349 1.1E+02
   448     18  1.0E+00    474  3.0E-05  1.3E-02  1.6993514E+00    350 1.1E+02
   449      8  3.0E-01    475  2.6E-05  8.0E-03  1.6992263E+00    353 1.1E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   450      6  1.0E+00    476  1.1E-04  1.6E-02  1.6987759E+00    348 1.1E+02
   451      8  8.2E-02    477  1.0E-04  9.6E-03  1.6986842E+00    349 1.1E+02
   452      4  1.8E-01    478  8.7E-05  8.0E-03  1.6986250E+00    348 1.1E+02
   453     24  1.0E+00    479  1.1E-04  8.5E-02  1.6985792E+00    335 1.1E+02
   454     42  9.2E-02    480  1.3E-04  3.4E-02  1.6984194E+00    350 1.1E+02
   455      5  1.0E+00    481  1.1E-04  7.2E-03  1.6982446E+00    346 1.1E+02
   456      6  1.0E+00    482  4.2E-05  1.1E-02  1.6980078E+00    341 1.1E+02
   457     19  1.0E+00    483  3.6E-06  9.3E-03  1.6978919E+00    337 1.1E+02
   458     13  1.0E+00    484  3.5E-05  7.9E-03  1.6975619E+00    337 1.1E+02
   459     16  1.0E+00    485  1.8E-05  8.9E-03  1.6973878E+00    338 1.1E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   460     13  1.0E+00    486  5.5E-05  2.2E-02  1.6972842E+00    346 1.1E+02
   461      9  1.0E+00    487  6.0E-05  2.0E-02  1.6971572E+00    340 1.1E+02
   462     20  1.0E+00    488  8.8E-06  1.8E-02  1.6969411E+00    330 1.1E+02
   463     19  4.9E-01    489  2.0E-05  1.4E-02  1.6966802E+00    335 1.1E+02
   464     10  1.4E-01    490  2.0E-05  1.1E-02  1.6965950E+00    340 1.1E+02
   465     13  1.0E+00    491  1.4E-04  2.0E-02  1.6960853E+00    340 1.1E+02
   466     17  1.0E+00    492  1.2E-04  2.2E-02  1.6959031E+00    340 1.1E+02
   467     21  1.0E+00    493  2.1E-05  1.8E-02  1.6955518E+00    340 1.1E+02
   468      9  1.0E+00    494  2.5E-04  1.2E-02  1.6950298E+00    336 1.1E+02
   469     16  1.0E+00    495  9.0E-06  1.3E-02  1.6949116E+00    331 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   470     11  1.0E+00    496  1.9E-05  1.3E-02  1.6945440E+00    327 2.2E+02
   471     10  1.0E+00    497  8.6E-05  1.5E-02  1.6939951E+00    327 2.2E+02
   472     35  1.0E+00    498  6.9E-06  2.1E-02  1.6937941E+00    337 2.2E+02
   473     15  3.9E-01    499  3.6E-05  3.3E-02  1.6934325E+00    335 2.2E+02
   474      9  1.0E+00    500  1.8E-04  2.9E-01  1.6933620E+00    337 2.2E+02
   475     17  1.0E+00    501  4.0E-04  2.4E-02  1.6928475E+00    341 2.2E+02
   476     19  1.0E+00    502  8.1E-05  2.6E-02  1.6925429E+00    333 2.2E+02
   477     23  1.0E+00    503  7.3E-06  2.5E-02  1.6922115E+00    336 2.2E+02
   478     24  1.0E+00    504  1.5E-05  1.7E-02  1.6918077E+00    334 2.2E+02
   479     14  1.0E+00    505  9.2E-05  3.0E-02  1.6913093E+00    339 2.2E+02   R

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   480     12  1.0E+00    506  7.0E-05  2.5E-02  1.6911428E+00    328 2.2E+02 s
   481      8  1.0E+00    507  3.4E-05  1.5E-02  1.6910180E+00    323 2.2E+02
   482      7  1.0E+00    508  2.5E-05  1.4E-02  1.6908615E+00    321 2.2E+02
   483      5  1.0E+00    509  1.5E-05  1.2E-02  1.6907349E+00    317 2.2E+02
   484      8  1.0E+00    510  1.4E-05  1.1E-02  1.6906203E+00    318 2.2E+02
   485      6  1.0E+00    511  1.5E-05  1.7E-02  1.6905371E+00    317 2.2E+02
   486      9  1.0E+00    512  9.9E-06  1.1E-02  1.6903717E+00    313 2.2E+02
   487      8  1.0E+00    513  3.6E-05  2.3E-02  1.6901232E+00    318 2.2E+02
   488      7  1.0E+00    514  1.1E-04  8.9E-02  1.6899670E+00    324 2.2E+02
   489      8  1.0E+00    515  3.0E-05  2.4E-02  1.6897645E+00    321 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   490     10  1.0E+00    516  1.7E-05  3.2E-02  1.6894202E+00    319 2.2E+02
   491     12  1.0E+00    517  1.5E-05  2.0E-02  1.6891748E+00    316 2.2E+02
   492      8  1.0E+00    518  7.7E-05  1.3E-02  1.6888450E+00    313 2.2E+02
   493     16  1.0E+00    519  1.7E-04  3.1E-02  1.6887042E+00    322 2.2E+02
   494     13  1.0E+00    520  1.2E-04  7.3E-03  1.6885236E+00    330 2.2E+02
   495     18  1.0E+00    521  8.3E-06  5.8E-03  1.6884156E+00    325 2.2E+02
   496     16  1.0E+00    522  1.8E-05  6.9E-03  1.6882658E+00    312 2.2E+02
   497     10  1.0E+00    523  2.9E-05  4.7E-03  1.6881662E+00    315 2.2E+02
   498     12  1.0E+00    524  9.6E-06  6.1E-03  1.6880478E+00    316 2.2E+02
   499     18  1.0E+00    525  3.6E-05  2.2E-02  1.6877288E+00    315 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   500     15  1.0E+00    526  1.2E-04  5.8E-02  1.6873768E+00    319 2.2E+02
   501     18  2.8E-01    527  1.5E-04  6.6E-02  1.6872115E+00    332 2.2E+02
   502      9  1.0E+00    528  7.0E-05  2.2E-02  1.6869131E+00    336 2.2E+02
   503     11  1.0E+00    529  1.0E-04  8.5E-03  1.6866239E+00    330 2.2E+02
   504     21  1.0E+00    530  1.2E-05  1.1E-02  1.6862958E+00    322 2.2E+02
   505      8  1.0E+00    531  1.3E-04  4.9E-02  1.6858187E+00    323 2.2E+02
   506     10  1.0E+00    532  1.1E-04  1.1E-02  1.6855785E+00    326 2.2E+02
   507     11  1.0E+00    533  4.6E-05  1.5E-02  1.6854002E+00    324 2.2E+02
   508     13  1.0E+00    534  2.2E-04  8.6E-03  1.6853134E+00    324 2.2E+02
   509     10  1.0E+00    535  2.5E-04  3.6E-02  1.6852394E+00    323 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   510      6  1.0E+00    536  6.5E-05  8.8E-03  1.6849599E+00    320 2.2E+02
   511     20  1.0E+00    537  2.9E-06  9.1E-03  1.6847608E+00    317 2.2E+02
   512     16  1.0E+00    538  8.2E-05  1.3E-02  1.6838275E+00    320 2.2E+02
   513     23  1.0E+00    539  6.6E-05  7.4E-02  1.6834506E+00    324 2.2E+02
   514     13  1.0E+00    540  4.5E-05  4.8E-02  1.6829950E+00    322 2.2E+02
   515     17  8.1E-02    541  4.9E-05  3.9E-02  1.6828451E+00    324 2.2E+02
   516     20  2.6E-01    542  4.9E-05  2.5E-02  1.6824781E+00    328 2.2E+02
   517     30  3.6E-01    543  5.2E-05  5.8E-02  1.6820255E+00    324 2.2E+02
   518     24  3.9E-02    544  5.8E-05  2.5E-02  1.6818892E+00    323 2.2E+02
   519     18  1.6E-01    545  5.7E-05  3.3E-02  1.6816240E+00    330 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   520     10  8.4E-02    546  5.7E-05  3.4E-02  1.6815206E+00    331 2.2E+02   R
   521     25  1.0E+00    547  1.6E-05  2.7E-02  1.6813772E+00    311 2.2E+02 s
   522      9  1.0E+00    548  1.3E-04  3.7E-02  1.6811112E+00    303 2.2E+02
   523     14  2.1E-01    549  1.5E-04  2.4E-02  1.6809922E+00    314 2.2E+02
   524      7  1.0E+00    550  1.1E-04  4.4E-03  1.6807508E+00    310 2.2E+02
   525      9  1.0E+00    551  2.7E-05  4.0E-03  1.6805815E+00    306 2.2E+02
   526     10  1.0E+00    552  4.4E-05  5.9E-03  1.6803658E+00    301 2.2E+02
   527     12  2.7E-01    553  6.8E-05  1.1E-02  1.6802396E+00    310 2.2E+02
   528      7  1.0E+00    554  1.0E-04  1.8E-02  1.6800901E+00    310 2.2E+02
